shock_type,intensity,structure,tau,K,seed,initial_fitness,final_fitness,improvement
poisson,0.333,Hy,0.2,2,8,0.5183309712111778,0.6006433018931955,0.08231233068201771
poisson,0.333,Hy,0.2,2,9,0.4557966179615617,0.6603347026901905,0.20453808472862878
poisson,0.333,Hy,0.2,2,10,0.4920962962170839,0.5805368596309113,0.08844056341382739
poisson,0.333,Hy,0.2,5,1,0.5568527467228047,0.6855094953417186,0.12865674861891385
poisson,0.333,Hy,0.2,5,2,0.4722942981260798,0.5210737379024131,0.048779439776333255
poisson,0.333,Hy,0.2,5,3,0.47464205591323605,0.5966296552608402,0.12198759934760417
poisson,0.333,Hy,0.2,5,4,0.5081613249524743,0.5593002065334862,0.051138881581011875
poisson,0.333,Hy,0.2,5,5,0.5719346371305428,0.5595489990827784,-0.01238563804776438
poisson,0.333,Hy,0.2,5,6,0.5505618536302817,0.45742029390035516,-0.09314155972992649
poisson,0.333,Hy,0.2,5,7,0.5276807067728831,0.6053187089032512,0.07763800213036809
poisson,0.333,Hy,0.2,5,8,0.3307253730273194,0.6067445823770361,0.2760192093497167
poisson,0.333,Hy,0.2,5,9,0.4982393533749977,0.658956807850436,0.16071745447543828
poisson,0.333,Hy,0.2,5,10,0.2869515006296898,0.6338699467051212,0.3469184460754314
poisson,0.333,Hy,0.2,10,1,0.6841352877936041,0.5328534276785051,-0.15128186011509903
poisson,0.333,Hy,0.2,10,2,0.4229700499686782,0.5240053592107314,0.10103530924205323
poisson,0.333,Hy,0.2,10,3,0.5895906905758573,0.701613249370997,0.11202255879513967
poisson,0.333,Hy,0.2,10,4,0.381670260895123,0.576503226247356,0.19483296535223293
poisson,0.333,Hy,0.2,10,5,0.5116867692297425,0.5360985687669308,0.024411799537188306
poisson,0.333,Hy,0.2,10,6,0.5612169749666369,0.7142266413115009,0.15300966634486401
poisson,0.333,Hy,0.2,10,7,0.49473699695166456,0.5139493543638787,0.01921235741221411
poisson,0.333,Hy,0.2,10,8,0.5456935310728613,0.4011035879544717,-0.14458994311838963
poisson,0.333,Hy,0.2,10,9,0.5711633737428429,0.5338239715307429,-0.03733940221209997
poisson,0.333,Hy,0.2,10,10,0.5650038256021307,0.5330169543853525,-0.031986871216778234
poisson,0.333,Hy,0.5,2,1,0.4988878538724215,0.6320343530630442,0.1331464991906227
poisson,0.333,Hy,0.5,2,2,0.5549004228922413,0.6273567780223656,0.07245635513012427
poisson,0.333,Hy,0.5,2,3,0.38496680707180897,0.7044808319009181,0.3195140248291092
poisson,0.333,Hy,0.5,2,4,0.4428722662316965,0.5266389901636235,0.08376672393192697
poisson,0.333,Hy,0.5,2,5,0.5350529144185684,0.6971106609329315,0.1620577465143631
poisson,0.333,Hy,0.5,2,6,0.6170253726010828,0.6825805072745063,0.06555513467342344
poisson,0.333,Hy,0.5,2,7,0.42328092883261187,0.6393456073050486,0.21606467847243677
poisson,0.333,Hy,0.5,2,8,0.5267804880310496,0.649898395214949,0.12311790718389937
poisson,0.333,Hy,0.5,2,9,0.44708988612339845,0.5156176476389618,0.06852776151556333
poisson,0.333,Hy,0.5,2,10,0.48241339584156334,0.6883936898389431,0.20598029399737977
poisson,0.333,Hy,0.5,5,1,0.5175486045027202,0.7415275008479913,0.22397889634527113
poisson,0.333,Hy,0.5,5,2,0.6036562974308458,0.7958923646963466,0.1922360672655008
poisson,0.333,Hy,0.5,5,3,0.5025667019295238,0.7542121004835871,0.2516453985540633
poisson,0.333,Hy,0.5,5,4,0.38806061838843525,0.6710488396624316,0.2829882212739963
poisson,0.333,Hy,0.5,5,5,0.5413572372217579,0.7457321469080528,0.2043749096862949
poisson,0.333,Hy,0.5,5,6,0.5602173866872372,0.8009754120521586,0.2407580253649214
poisson,0.333,Hy,0.5,5,7,0.4422261931588262,0.6677264176930064,0.22550022453418023
poisson,0.333,Hy,0.5,5,8,0.3548924693789783,0.7105998678614555,0.3557073984824772
poisson,0.333,Hy,0.5,5,9,0.5785881293831107,0.6892126912479359,0.11062456186482528
