structure,tau,K,seed,shock_every,initial_fitness,final_fitness,bank
V,0.2,5,7,40,0.5898826129746855,0.7021346808431284,A
V,0.2,5,8,40,0.5636327161690111,0.6666043657139594,A
V,0.2,5,9,40,0.620107221855567,0.6623951829789215,A
V,0.2,5,10,40,0.6183274389892617,0.7803790429300542,A
V,0.2,10,1,40,0.5169734156457129,0.7007563341705688,A
V,0.2,10,2,40,0.6311128291635851,0.5775879663721945,A
V,0.2,10,3,40,0.3522016620508221,0.7012342111235828,A
V,0.2,10,4,40,0.3882379385557165,0.6434688255783626,A
V,0.2,10,5,40,0.46621104230601645,0.6777152886150533,A
V,0.2,10,6,40,0.4137398528787314,0.6397031233735552,A
V,0.2,10,7,40,0.49615822681116234,0.6228102224896216,A
V,0.2,10,8,40,0.49642096052598395,0.6822429207533706,A
V,0.2,10,9,40,0.5497532454827853,0.644465721290585,A
V,0.2,10,10,40,0.5455043485333195,0.681809338184377,A
V,0.5,2,1,40,0.4747488289190507,0.6401229882274169,A
V,0.5,2,2,40,0.4520722086121538,0.681049025295676,A
V,0.5,2,3,40,0.5110046829913849,0.7122740746801605,A
V,0.5,2,4,40,0.46336958321483157,0.6885507689313572,A
V,0.5,2,5,40,0.5048373440700721,0.6339995862578057,A
V,0.5,2,6,40,0.5043995720006194,0.7767796444637639,A
V,0.5,2,7,40,0.3592093040918078,0.7194132188962217,A
V,0.5,2,8,40,0.5473922207803911,0.6732896770015533,A
V,0.5,2,9,40,0.5078665080042757,0.706705904766282,A
V,0.5,2,10,40,0.37281246053651496,0.6729670188574944,A
V,0.5,5,1,40,0.6288641203458472,0.6096565712915324,A
V,0.5,5,2,40,0.29522882228606273,0.6338430506136136,A
V,0.5,5,3,40,0.4197450266887051,0.672921942045823,A
V,0.5,5,4,40,0.5192618303459741,0.6870035678425079,A
V,0.5,5,5,40,0.5295217831988822,0.7788759912887048,A
V,0.5,5,6,40,0.3871421390672373,0.7917463382296366,A
V,0.5,5,7,40,0.5843771821237459,0.691860397532528,A
V,0.5,5,8,40,0.35691765203997156,0.6421928786778183,A
V,0.5,5,9,40,0.4963919587631391,0.7079813540969165,A
V,0.5,5,10,40,0.30761992214389805,0.7448321537905572,A
V,0.5,10,1,40,0.45007438390758203,0.6902810754074582,A
V,0.5,10,2,40,0.6495534022917742,0.6654659549277184,A
V,0.5,10,3,40,0.5489316839981443,0.584946930076135,A
V,0.5,10,4,40,0.47842799631083294,0.6078586050524498,A
V,0.5,10,5,40,0.35233436369797305,0.6441270387008861,A
V,0.5,10,6,40,0.5338668453708836,0.6942200173002994,A
V,0.5,10,7,40,0.44839610621016274,0.7636380519671457,A
V,0.5,10,8,40,0.5722826437667147,0.6118733954681392,A
V,0.5,10,9,40,0.4678525826721908,0.7202742968192416,A
V,0.5,10,10,40,0.45231499014133286,0.6502594407756486,A
V,0.8,2,1,40,0.49790130411449074,0.6206871972057114,A
V,0.8,2,2,40,0.45766370079461827,0.6862577752029797,A
V,0.8,2,3,40,0.4610129210065723,0.709632374228919,A
V,0.8,2,4,40,0.48889291645034966,0.7561670783407882,A
V,0.8,2,5,40,0.5161893274684153,0.6597292768535632,A
V,0.8,2,6,40,0.6215131630513162,0.6940683009273958,A
V,0.8,2,7,40,0.40488014025330776,0.6975183174046936,A
V,0.8,2,8,40,0.41579502963240605,0.6109946152101775,A
V,0.8,2,9,40,0.5091189664066104,0.6109309276779781,A
V,0.8,2,10,40,0.4327409096729503,0.7653584887843464,A
V,0.8,5,1,40,0.5498162427916262,0.6990335821469308,A
V,0.8,5,2,40,0.44538367045737015,0.7303481191128592,A
V,0.8,5,3,40,0.4483752739617758,0.7454910985141667,A
V,0.8,5,4,40,0.41936987562519457,0.7612931865590741,A
V,0.8,5,5,40,0.46954887688306857,0.6817910276032628,A
V,0.8,5,6,40,0.5642328878675967,0.7005977371604515,A
V,0.8,5,7,40,0.3599636975613224,0.6121985641244818,A
V,0.8,5,8,40,0.49202403978535114,0.6355694053328389,A
V,0.8,5,9,40,0.5917778251190826,0.7630363051412742,A
V,0.8,5,10,40,0.4520826705666465,0.7793936948717374,A
V,0.8,10,1,40,0.4621332676874201,0.6285086845628746,A
V,0.8,10,2,40,0.47181733563822303,0.7936043618700845,A
V,0.8,10,3,40,0.6121837032485341,0.6636182397378774,A
V,0.8,10,4,40,0.5428225919148704,0.6290381036026083,A
V,0.8,10,5,40,0.4898875299966644,0.7035213242417151,A
V,0.8,10,6,40,0.4625336310690109,0.5835194009996341,A
V,0.8,10,7,40,0.49174671827561556,0.6479359410279187,A
V,0.8,10,8,40,0.557468513840425,0.6190447186356828,A
V,0.8,10,9,40,0.4850829316172694,0.6185045445217404,A
V,0.8,10,10,40,0.49528996323373176,0.6414522960116344,A
H,0.2,2,1,40,0.5185372620829584,0.6002184343917103,A
H,0.2,2,2,40,0.41298396160898593,0.45615815248505603,A
H,0.2,2,3,40,0.5322267043000012,0.5330832003103674,A
H,0.2,2,4,40,0.4797951482923716,0.5360917265565662,A
H,0.2,2,5,40,0.41639176030727615,0.5805742335937898,A
H,0.2,2,6,40,0.6722520409226489,0.7349412669919275,A
H,0.2,2,7,40,0.5983736482893622,0.6175945316937818,A
H,0.2,2,8,40,0.45200593437032255,0.6474432935026795,A
