structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,N,n_agents,T
V,0.2,2,4,0.41262317419226024,0.7561470521747163,0.7561470521747163,0.3435238779824561,5,15,30,40
V,0.2,2,5,0.5441292984668524,0.660401079370227,0.660401079370227,0.11627178090337453,3,15,30,40
V,0.2,2,6,0.5508891091124236,0.7384468253359394,0.7384468253359394,0.1875577162235158,4,15,30,40
V,0.2,2,7,0.6273857452351862,0.7112545395082974,0.7112545395082974,0.08386879427311122,4,15,30,40
V,0.2,2,8,0.41082218513828955,0.741210917679924,0.741210917679924,0.3303887325416344,7,15,30,40
V,0.2,2,9,0.4588629641796948,0.7316362379298791,0.7316362379298791,0.2727732737501843,9,15,30,40
V,0.2,2,10,0.5125463358251451,0.7869034886870048,0.7869034886870048,0.2743571528618597,5,15,30,40
V,0.2,2,11,0.47210602765506643,0.7345564698374677,0.7345564698374677,0.26245044218240127,7,15,30,40
V,0.2,2,12,0.4652292265765749,0.6721830906760108,0.6721830906760108,0.2069538640994359,4,15,30,40
V,0.2,2,13,0.623882799462688,0.7402293542930714,0.7402293542930714,0.11634655483038336,6,15,30,40
V,0.2,2,14,0.4503359291381266,0.6734095163845466,0.6734095163845466,0.22307358724642,8,15,30,40
V,0.2,2,15,0.3929861090266314,0.7104331769822587,0.7104331769822587,0.3174470679556273,6,15,30,40
V,0.2,2,16,0.5524229533132016,0.7539411129429768,0.7539411129429768,0.20151815962977526,7,15,30,40
V,0.2,2,17,0.44142538097902695,0.6360712820620158,0.6360712820620158,0.19464590108298885,5,15,30,40
