structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,N,n_agents,T,fragmentation_cost,sweep,n_agents_setting
V,0.2,2,19,0.47987606114774745,0.6932056446700353,0.6932056446700353,0.21332958352228787,8,15,30,40,0.1,fragmentation_cost,
V,0.2,2,20,0.43673667095774094,0.6018769476731907,0.6018769476731907,0.16514027671544973,5,15,30,40,0.1,fragmentation_cost,
V,0.2,5,1,0.4254395976132425,0.7515863258674046,0.7515863258674046,0.3261467282541621,6,15,30,40,0.1,fragmentation_cost,
V,0.2,5,2,0.589146478953961,0.723509803250431,0.723509803250431,0.13436332429647002,2,15,30,40,0.1,fragmentation_cost,
V,0.2,5,3,0.44942423743482873,0.6501216449055852,0.6501216449055852,0.20069740747075648,3,15,30,40,0.1,fragmentation_cost,
V,0.2,5,4,0.5345691335806357,0.7162409264876394,0.7162409264876394,0.18167179290700364,6,15,30,40,0.1,fragmentation_cost,
V,0.2,5,5,0.37063644125407436,0.7112799480507446,0.7112799480507446,0.3406435067966702,7,15,30,40,0.1,fragmentation_cost,
V,0.2,5,6,0.5226861945002731,0.6526314693529595,0.6526314693529595,0.12994527485268637,2,15,30,40,0.1,fragmentation_cost,
V,0.2,5,7,0.6169835518475781,0.7388672890030864,0.7388672890030864,0.12188373715550826,3,15,30,40,0.1,fragmentation_cost,
V,0.2,5,8,0.5169146313825309,0.6758351977945648,0.6758351977945648,0.1589205664120339,3,15,30,40,0.1,fragmentation_cost,
V,0.2,5,9,0.5288215940527426,0.6567188972378997,0.6567188972378997,0.12789730318515702,2,15,30,40,0.1,fragmentation_cost,
V,0.2,5,10,0.5290474220132074,0.7559647966282127,0.7559647966282127,0.22691737461500527,3,15,30,40,0.1,fragmentation_cost,
V,0.2,5,11,0.43879419705116096,0.6326887143433043,0.6326887143433043,0.19389451729214335,2,15,30,40,0.1,fragmentation_cost,
V,0.2,5,12,0.533683250361392,0.6821745027051624,0.6821745027051624,0.14849125234377047,2,15,30,40,0.1,fragmentation_cost,
V,0.2,5,13,0.46490179430353323,0.6943894306707328,0.6943894306707328,0.22948763636719954,3,15,30,40,0.1,fragmentation_cost,
V,0.2,5,14,0.42266408606447586,0.7099547877244441,0.7099547877244441,0.28729070165996823,4,15,30,40,0.1,fragmentation_cost,
V,0.2,5,15,0.6162652465680593,0.7628377800557388,0.7628377800557388,0.1465725334876795,2,15,30,40,0.1,fragmentation_cost,
V,0.2,5,16,0.5270382826728505,0.6803836374582917,0.6803836374582917,0.1533453547854412,3,15,30,40,0.1,fragmentation_cost,
V,0.2,5,17,0.4588748777589639,0.7399221698624637,0.7399221698624637,0.2810472921034998,3,15,30,40,0.1,fragmentation_cost,
V,0.2,5,18,0.4943821514847703,0.696624815291326,0.696624815291326,0.2022426638065557,4,15,30,40,0.1,fragmentation_cost,
V,0.2,5,19,0.5630895505943526,0.7773898506136178,0.7773898506136178,0.21430030001926514,5,15,30,40,0.1,fragmentation_cost,
V,0.2,5,20,0.36914153689918555,0.6575173547033387,0.6575173547033387,0.28837581780415317,5,15,30,40,0.1,fragmentation_cost,
V,0.2,10,1,0.48931728929327556,0.7224612435079324,0.7224612435079324,0.23314395421465683,4,15,30,40,0.1,fragmentation_cost,
V,0.2,10,2,0.5536270403759354,0.7245093249709996,0.7245093249709996,0.17088228459506427,4,15,30,40,0.1,fragmentation_cost,
V,0.2,10,3,0.46671427059107934,0.6837634967613717,0.6837634967613717,0.21704922617029238,2,15,30,40,0.1,fragmentation_cost,
V,0.2,10,4,0.47996163501024736,0.6452540140069856,0.6452540140069856,0.1652923789967382,2,15,30,40,0.1,fragmentation_cost,
