structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,N,n_agents,T,shock_every,reshuffle_frac
V,0.3,2,5,0.5047429702015456,0.6608968861652293,0.6667457238224852,0.15615391596368378,15,30,40,10,0.25
V,0.3,2,6,0.46903146789861555,0.7335891534155237,0.7940393794639249,0.2645576855169081,15,30,40,10,0.25
V,0.3,2,7,0.48421928125464697,0.7776574444148506,0.7776574444148506,0.29343816316020366,15,30,40,10,0.25
V,0.3,2,8,0.38431633409440147,0.653220099703952,0.741210917679924,0.26890376560955054,15,30,40,10,0.25
V,0.3,2,9,0.5400633818430397,0.6669546605061506,0.7106767086333197,0.1268912786631109,15,30,40,10,0.25
V,0.3,2,10,0.44071399485407325,0.6711393347057977,0.7420918866818098,0.23042533985172442,15,30,40,10,0.25
V,0.3,2,11,0.6458067073829558,0.6916795652531901,0.7394500948798274,0.04587285787023432,15,30,40,10,0.25
V,0.3,2,12,0.49604118645468603,0.7023857548438818,0.7352940992517059,0.20634456838919574,15,30,40,10,0.25
V,0.3,2,13,0.42379935080867687,0.6891090317823411,0.6972615497934013,0.2653096809736642,15,30,40,10,0.25
V,0.3,2,14,0.5992689275373729,0.6136534283687732,0.7072668450722278,0.014384500831400304,15,30,40,10,0.25
V,0.3,2,15,0.5060708719592815,0.6757265778311565,0.700574854694826,0.16965570587187506,15,30,40,10,0.25
V,0.3,2,16,0.40506178186693353,0.6909920144931636,0.7671017487774476,0.2859302326262301,15,30,40,10,0.25
V,0.3,2,17,0.5292616709718375,0.630013610503189,0.7015562202636568,0.10075193953135153,15,30,40,10,0.25
V,0.3,2,18,0.4498317950823005,0.7126662607643038,0.7348629884268197,0.26283446568200336,15,30,40,10,0.25
V,0.3,2,19,0.6559284041485324,0.8409656315036013,0.8409656315036013,0.1850372273550689,15,30,40,10,0.25
V,0.3,2,20,0.5430300443458115,0.6439911859992623,0.7318565250000753,0.10096114165345083,15,30,40,10,0.25
V,0.3,5,1,0.6333862795769412,0.6778482230615561,0.7471768281374384,0.04446194348461496,15,30,40,10,0.25
V,0.3,5,2,0.3876759233709271,0.6857358598525546,0.7149824646225119,0.2980599364816275,15,30,40,10,0.25
V,0.3,5,3,0.5950550594486737,0.5982264870783365,0.7294926051946479,0.0031714276296628263,15,30,40,10,0.25
V,0.3,5,4,0.5336933524983445,0.7817347521063316,0.7817347521063316,0.2480413996079871,15,30,40,10,0.25
V,0.3,5,5,0.455013396180679,0.6435511447724067,0.7600854998498172,0.18853774859172773,15,30,40,10,0.25
V,0.3,5,6,0.49771005791518075,0.6923785999978566,0.8000051222422606,0.1946685420826758,15,30,40,10,0.25
V,0.3,5,7,0.46186701730381513,0.781357898456314,0.781357898456314,0.31949088115249885,15,30,40,10,0.25
V,0.3,5,8,0.6508006994478502,0.6185266153635544,0.7700308533680101,-0.032274084084295884,15,30,40,10,0.25
V,0.3,5,9,0.6409469495219758,0.7181319744073489,0.7636316407660694,0.07718502488537304,15,30,40,10,0.25
V,0.3,5,10,0.44114860111522325,0.6517901861394344,0.7563543386193768,0.21064158502421115,15,30,40,10,0.25
V,0.3,5,11,0.4587328555705382,0.6997442457024204,0.7767576476236174,0.24101139013188222,15,30,40,10,0.25
V,0.3,5,12,0.6099554689641289,0.5712112188152686,0.7216446594886983,-0.03874425014886029,15,30,40,10,0.25
V,0.3,5,13,0.6316263205535599,0.662090209433654,0.7480438552941788,0.030463888880094103,15,30,40,10,0.25
V,0.3,5,14,0.4858244134314859,0.6712096608131742,0.748076177504077,0.18538524738168832,15,30,40,10,0.25
V,0.3,5,15,0.4214011220068816,0.6461074680294263,0.7556535735003986,0.2247063460225447,15,30,40,10,0.25
V,0.3,5,16,0.5488356716230964,0.6390209117003943,0.7462655565649681,0.09018524007729789,15,30,40,10,0.25
V,0.3,5,17,0.48684346809378237,0.7163001542966839,0.7775758162527001,0.22945668620290155,15,30,40,10,0.25
V,0.3,5,18,0.5468165902926237,0.7278126735317587,0.7962503432229063,0.18099608323913496,15,30,40,10,0.25
V,0.3,5,19,0.5665995566618649,0.6589792932414679,0.7888827034432299,0.09237973657960297,15,30,40,10,0.25
