structure,tau,K,seed,shock_every,initial_fitness,final_fitness
V,0.2,2,21,40,0.43977104315288146,0.642833435885146
V,0.2,2,22,40,0.5361157680483042,0.6933149532106342
V,0.2,2,23,40,0.4758549314270494,0.7438352911740266
V,0.2,2,24,40,0.4747210941803929,0.577308123253865
V,0.2,2,25,40,0.37401781159792097,0.667081294524166
V,0.2,2,26,40,0.49709441277230354,0.6854420449124041
V,0.2,2,27,40,0.6054174629366629,0.6884729743817187
V,0.2,2,28,40,0.7089268486690968,0.7877538834823496
V,0.2,2,29,40,0.48975076597420697,0.7188548232658502
V,0.2,2,30,40,0.4703136607943194,0.6412481086722851
V,0.2,5,1,40,0.48016322117952626,0.714233394634363
V,0.2,5,2,40,0.47418972329060627,0.6422771441684209
V,0.2,5,3,40,0.481708376327498,0.7274144297369048
V,0.2,5,4,40,0.6358517205123191,0.7500038696147471
V,0.2,5,5,40,0.5416014411095766,0.6524915923238532
V,0.2,5,6,40,0.5732140828340884,0.683647943606816
V,0.2,5,7,40,0.3938996170675057,0.7584912733161359
V,0.2,5,8,40,0.4782366715879415,0.6721418391496664
V,0.2,5,9,40,0.5170606856809978,0.7070644301909262
V,0.2,5,10,40,0.4264768813584753,0.6885431520064318
V,0.2,5,11,40,0.5823533530596614,0.7119683076914626
V,0.2,5,12,40,0.4595217408520051,0.7721772118809463
V,0.2,5,13,40,0.4213791130260966,0.6578630843423373
V,0.2,5,14,40,0.4989031940852763,0.6985373656692757
V,0.2,5,15,40,0.5455369118057931,0.6345450473105303
V,0.2,5,16,40,0.536981636016958,0.6544359948494729
V,0.2,5,17,40,0.467973798713344,0.6448702487659069
V,0.2,5,18,40,0.4779672860675367,0.5687249319374812
V,0.2,5,19,40,0.4746618652776821,0.6470061692420241
V,0.2,5,20,40,0.5054401202679998,0.6480084125250105
V,0.2,5,21,40,0.5368888140968153,0.669548934742441
V,0.2,5,22,40,0.386570647178315,0.6692322598011682
V,0.2,5,23,40,0.43048395416307217,0.6441490378134609
V,0.2,5,24,40,0.44227342947625936,0.6364467573074724
V,0.2,5,25,40,0.6372979785667907,0.7447629279347329
V,0.2,5,26,40,0.5175709612440388,0.7493526425015243
V,0.2,5,27,40,0.5338870760634197,0.701289747815403
V,0.2,5,28,40,0.420192236952593,0.7232399777027465
V,0.2,5,29,40,0.5389918968431003,0.6708130129145878
V,0.2,5,30,40,0.3869890047223697,0.6787715418621291
V,0.2,10,1,40,0.5057844378298773,0.7011944853213603
V,0.2,10,2,40,0.5661900083202634,0.6503531555605517
V,0.2,10,3,40,0.4508212933650841,0.7365021825721221
V,0.2,10,4,40,0.48212331319193397,0.6757173902840559
V,0.2,10,5,40,0.5324482741726833,0.6854770235613316
