heterogeneity,structure,tau,K,seed,shock_every,final_fitness
skewed,V,0.5,5,18,10,0.7520238615272743
skewed,V,0.5,5,18,3,0.6574030512722032
skewed,V,0.5,5,19,100,0.6910000244322873
skewed,V,0.5,5,19,10,0.6081041327880248
skewed,V,0.5,5,19,3,0.734896041788604
skewed,V,0.5,5,20,100,0.718744500192909
skewed,V,0.5,5,20,10,0.7483186731558359
skewed,V,0.5,5,20,3,0.6744419614876557
skewed,H,0.5,5,1,100,0.7388743433505822
skewed,H,0.5,5,1,10,0.5922652241888501
skewed,H,0.5,5,1,3,0.5518667696687183
skewed,H,0.5,5,2,100,0.7427604168980676
skewed,H,0.5,5,2,10,0.6730544683514038
skewed,H,0.5,5,2,3,0.5680578074340974
skewed,H,0.5,5,3,100,0.7643113726659856
skewed,H,0.5,5,3,10,0.6332980200449365
skewed,H,0.5,5,3,3,0.6060043585563502
skewed,H,0.5,5,4,100,0.7109772250438838
skewed,H,0.5,5,4,10,0.5233096093729531
skewed,H,0.5,5,4,3,0.5858384492450794
skewed,H,0.5,5,5,100,0.7812845913627592
skewed,H,0.5,5,5,10,0.5380838176555198
skewed,H,0.5,5,5,3,0.5733951266920052
skewed,H,0.5,5,6,100,0.7428948776019155
skewed,H,0.5,5,6,10,0.5918346009306233
skewed,H,0.5,5,6,3,0.486276500117675
skewed,H,0.5,5,7,100,0.8015576680946822
skewed,H,0.5,5,7,10,0.6581309522641127
skewed,H,0.5,5,7,3,0.5320950121830469
skewed,H,0.5,5,8,100,0.7211593484963077
skewed,H,0.5,5,8,10,0.684338343969278
skewed,H,0.5,5,8,3,0.5912126396650303
skewed,H,0.5,5,9,100,0.7422460382261098
skewed,H,0.5,5,9,10,0.6689033132954197
skewed,H,0.5,5,9,3,0.5659820941266922
skewed,H,0.5,5,10,100,0.7559647966282127
skewed,H,0.5,5,10,10,0.728001465102599
skewed,H,0.5,5,10,3,0.4120601515851518
skewed,H,0.5,5,11,100,0.7828942964801694
skewed,H,0.5,5,11,10,0.6123297502805773
skewed,H,0.5,5,11,3,0.5147440695999903
skewed,H,0.5,5,12,100,0.7809074825484646
skewed,H,0.5,5,12,10,0.6996073651529762
skewed,H,0.5,5,12,3,0.5109203755159951
skewed,H,0.5,5,13,100,0.7256906487783278
skewed,H,0.5,5,13,10,0.6053564110788596
skewed,H,0.5,5,13,3,0.5926931931083715
skewed,H,0.5,5,14,100,0.7845342039153097
skewed,H,0.5,5,14,10,0.7582379300938797
skewed,H,0.5,5,14,3,0.6530448845289398
skewed,H,0.5,5,15,100,0.7889263765002634
skewed,H,0.5,5,15,10,0.7702158046989446
skewed,H,0.5,5,15,3,0.5634788250322683
skewed,H,0.5,5,16,100,0.7206090363954937
skewed,H,0.5,5,16,10,0.5308243387531473
skewed,H,0.5,5,16,3,0.6913040312231575
skewed,H,0.5,5,17,100,0.7572992647880514
skewed,H,0.5,5,17,10,0.6371299991962804
skewed,H,0.5,5,17,3,0.679219508316907
skewed,H,0.5,5,18,100,0.7662938848234037
skewed,H,0.5,5,18,10,0.7329400931353365
skewed,H,0.5,5,18,3,0.6335532734805075
skewed,H,0.5,5,19,100,0.804661204581756
skewed,H,0.5,5,19,10,0.6614292458636357
skewed,H,0.5,5,19,3,0.6949934668825855
skewed,H,0.5,5,20,100,0.7118054843585301
skewed,H,0.5,5,20,10,0.533168896935163
skewed,H,0.5,5,20,3,0.5845467965034933
skewed,Hy,0.5,5,1,100,0.681914226884297
skewed,Hy,0.5,5,1,10,0.5954812052305842
skewed,Hy,0.5,5,1,3,0.7889987638590049
skewed,Hy,0.5,5,2,100,0.723509803250431
skewed,Hy,0.5,5,2,10,0.5535077586822058
skewed,Hy,0.5,5,2,3,0.7275439341803087
skewed,Hy,0.5,5,3,100,0.7322258971267277
skewed,Hy,0.5,5,3,10,0.6640721330098135
skewed,Hy,0.5,5,3,3,0.7198348303783813
skewed,Hy,0.5,5,4,100,0.7208633485084227
skewed,Hy,0.5,5,4,10,0.6225067879823545
skewed,Hy,0.5,5,4,3,0.5850711877457591
skewed,Hy,0.5,5,5,100,0.7615297532608453
skewed,Hy,0.5,5,5,10,0.6764905703536174
skewed,Hy,0.5,5,5,3,0.5862301664817113
skewed,Hy,0.5,5,6,100,0.7105566591070206
skewed,Hy,0.5,5,6,10,0.7566438792165276
skewed,Hy,0.5,5,6,3,0.6069614365968897
skewed,Hy,0.5,5,7,100,0.6951370616628042
skewed,Hy,0.5,5,7,10,0.649660942077083
skewed,Hy,0.5,5,7,3,0.7842160235866141
skewed,Hy,0.5,5,8,100,0.715805546185713
skewed,Hy,0.5,5,8,10,0.7250624335255684
skewed,Hy,0.5,5,8,3,0.6988338156447783
skewed,Hy,0.5,5,9,100,0.7408033624898203
skewed,Hy,0.5,5,9,10,0.7709339222710961
skewed,Hy,0.5,5,9,3,0.6918642613968856
skewed,Hy,0.5,5,10,100,0.7407142171965557
skewed,Hy,0.5,5,10,10,0.7103445844179779
skewed,Hy,0.5,5,10,3,0.7548048746143903
skewed,Hy,0.5,5,11,100,0.733383691328114
skewed,Hy,0.5,5,11,10,0.6641164323848744
skewed,Hy,0.5,5,11,3,0.7177326240633354
skewed,Hy,0.5,5,12,100,0.7664076748109921
skewed,Hy,0.5,5,12,10,0.7349431959881039
skewed,Hy,0.5,5,12,3,0.6452805610819051
