structure,tau,K,seed,shock_every,reshuffle_frac,initial_fitness,final_fitness,improvement,N,n_agents,T
V,0.8,10,18,100,0.25,0.5399673552972596,0.7387909160333559,0.1988235607360963,15,30,40
V,0.8,10,19,100,0.25,0.5111960759497224,0.6862506605147028,0.17505458456498046,15,30,40
V,0.8,10,20,100,0.25,0.45480882108062093,0.6792226875473357,0.2244138664667148,15,30,40
V,0.8,10,21,100,0.25,0.40843262589065593,0.6112307992020857,0.20279817331142974,15,30,40
V,0.8,10,22,100,0.25,0.5751655307610974,0.741727118789889,0.1665615880287915,15,30,40
V,0.8,10,23,100,0.25,0.656664223258107,0.7163418562029028,0.05967763294479578,15,30,40
V,0.8,10,24,100,0.25,0.6546335091203396,0.696199361830813,0.04156585271047342,15,30,40
V,0.8,10,25,100,0.25,0.4994983034929766,0.6336579563538826,0.13415965286090598,15,30,40
V,0.8,10,26,100,0.25,0.4623688242234877,0.6776790559344376,0.21531023171094987,15,30,40
V,0.8,10,27,100,0.25,0.6023214137136252,0.6563493855030013,0.05402797178937602,15,30,40
V,0.8,10,28,100,0.25,0.494646324098517,0.6769761514440698,0.18232982734555275,15,30,40
V,0.8,10,29,100,0.25,0.48048669032456187,0.6792485857437218,0.19876189541915995,15,30,40
V,0.8,10,30,100,0.25,0.5061875894811311,0.7208349758083802,0.2146473863272491,15,30,40
V,0.2,2,1,40,0.25,0.5471193671869374,0.6528656444566968,0.10574627726975938,15,30,40
V,0.2,2,2,40,0.25,0.5109192599573952,0.702740488881781,0.1918212289243858,15,30,40
V,0.2,2,3,40,0.25,0.6345567982971867,0.6847189436663987,0.05016214536921204,15,30,40
V,0.2,2,4,40,0.25,0.5364194028107523,0.6779737582800768,0.1415543554693245,15,30,40
V,0.2,2,5,40,0.25,0.4773420397390061,0.6206891088466331,0.143347069107627,15,30,40
V,0.2,2,6,40,0.25,0.5361371742633495,0.6773628514210669,0.1412256771577174,15,30,40
V,0.2,2,7,40,0.25,0.5386551566704648,0.6177939311676643,0.07913877449719953,15,30,40
V,0.2,2,8,40,0.25,0.4464034075151661,0.5840044947680721,0.13760108725290604,15,30,40
V,0.2,2,9,40,0.25,0.506750797977789,0.6962661012842017,0.18951530330641275,15,30,40
V,0.2,2,10,40,0.25,0.5478046493124814,0.8354903118334767,0.28768566252099526,15,30,40
V,0.2,2,11,40,0.25,0.49033172516851836,0.6829106022412154,0.192578877072697,15,30,40
V,0.2,2,12,40,0.25,0.5094805336877485,0.6531211862669349,0.14364065257918646,15,30,40
