structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,n_improvements,n_stalls,N,n_agents,T
V,0.9,10,24,0.5388638033033438,0.6327294296459051,0.6327294296459051,0.09386562634256124,1,1,39,15,30,40
V,0.9,10,25,0.5498040868595349,0.6285043692743315,0.6285043692743315,0.07870028241479665,2,2,38,15,30,40
V,0.9,10,26,0.5018133340310291,0.7103147738941276,0.7103147738941276,0.20850143986309844,1,1,39,15,30,40
V,0.9,10,27,0.5158592111686751,0.7181141538798294,0.7181141538798294,0.2022549427111543,4,4,36,15,30,40
V,0.9,10,28,0.4984017027073219,0.6404686498066421,0.6404686498066421,0.14206694709932016,2,3,37,15,30,40
V,0.9,10,29,0.6016498140596516,0.6859086988768263,0.6859086988768263,0.0842588848171747,1,1,39,15,30,40
V,0.9,10,30,0.5617247277832822,0.6761138220454033,0.6761138220454033,0.11438909426212107,3,3,37,15,30,40
V,0.9,10,31,0.4980360105044911,0.5946871583287484,0.5946871583287484,0.09665114782425732,1,1,39,15,30,40
V,0.9,10,32,0.5182427965108255,0.6939922372041892,0.6939922372041892,0.17574944069336373,1,1,39,15,30,40
V,0.9,10,33,0.5068025536191804,0.596784234298573,0.596784234298573,0.0899816806793926,1,1,39,15,30,40
V,0.9,10,34,0.4084414223486582,0.7160788065173865,0.7160788065173865,0.3076373841687283,4,4,36,15,30,40
V,0.9,10,35,0.33839163213135565,0.671187095266657,0.671187095266657,0.33279546313530134,2,2,38,15,30,40
V,0.9,10,36,0.4641238805581358,0.6173481523137693,0.6173481523137693,0.15322427175563347,2,2,38,15,30,40
V,0.9,10,37,0.45018910730104966,0.633132068382375,0.633132068382375,0.18294296108132535,1,1,39,15,30,40
V,0.9,10,38,0.49824454377474825,0.6566962752354967,0.6566962752354967,0.15845173146074842,1,1,39,15,30,40
V,0.9,10,39,0.35844536554298995,0.6622620184637956,0.6622620184637956,0.3038166529208057,2,2,38,15,30,40
V,0.9,10,40,0.5708461979740105,0.6608505312739169,0.6608505312739169,0.09000433329990642,1,1,39,15,30,40
H,0.1,2,1,0.6403824451746168,0.6403824451746168,0.6403824451746168,0.0,0,0,40,15,30,40
H,0.1,2,2,0.5101019959113854,0.5101019959113854,0.5101019959113854,0.0,0,0,40,15,30,40
