symbol,year,net_income,total_assets,ROA,employees,market_cap,sector_yf,founded,sector_gics,cik
ARES,2022,167541000.0,22002839000.0,0.007614517381143406,3967.0,39657377792,Financial Services,1977,Financials,0001176948
ARES,2021,,,,3967.0,39657377792,Financial Services,1977,Financials,0001176948
ANET,2025,3511400000.0,19448600000.0,0.1805477000915233,5115.0,217660030976,Technology,2004,Information Technology,0001596532
ANET,2024,2852100000.0,14043900000.0,0.2030846132484566,5115.0,217660030976,Technology,2004,Information Technology,0001596532
ANET,2023,2087300000.0,9956635000.0,0.20963909995696337,5115.0,217660030976,Technology,2004,Information Technology,0001596532
ANET,2022,1352446000.0,6775410000.0,0.19961094605344917,5115.0,217660030976,Technology,2004,Information Technology,0001596532
AJG,2025,1494000000.0,70665000000.0,0.02114200806622798,72000.0,57708666880,Financial Services,1927,Financials,0000354190
AJG,2024,1463000000.0,64255000000.0,0.022768656135709282,72000.0,57708666880,Financial Services,1927,Financials,0000354190
AJG,2023,970000000.0,51615800000.0,0.018792695259978533,72000.0,57708666880,Financial Services,1927,Financials,0000354190
AJG,2022,1114200000.0,38358400000.0,0.02904709268374072,72000.0,57708666880,Financial Services,1927,Financials,0000354190
AJG,2021,,,,72000.0,57708666880,Financial Services,1927,Financials,0000354190
AIZ,2025,872700000.0,36289600000.0,0.024048212159957675,14800.0,11399230464,Financial Services,1892,Financials,0001267238
AIZ,2024,760200000.0,35020600000.0,0.02170722374830814,14800.0,11399230464,Financial Services,1892,Financials,0001267238
AIZ,2023,642500000.0,33635200000.0,0.01910201217771858,14800.0,11399230464,Financial Services,1892,Financials,0001267238
AIZ,2022,276600000.0,33117300000.0,0.008352130155538042,14800.0,11399230464,Financial Services,1892,Financials,0001267238
AIZ,2021,,,,14800.0,11399230464,Financial Services,1892,Financials,0001267238
T,2025,21953000000.0,420198000000.0,0.05224441810765401,133030.0,181174927360,Communication Services,1983 (1885),Communication Services,0000732717
T,2024,10948000000.0,394795000000.0,0.027730847655112148,133030.0,181174927360,Communication Services,1983 (1885),Communication Services,0000732717
T,2023,14400000000.0,407060000000.0,0.03537562030167543,133030.0,181174927360,Communication Services,1983 (1885),Communication Services,0000732717
T,2022,-8524000000.0,402853000000.0,-0.02115908284163206,133030.0,181174927360,Communication Services,1983 (1885),Communication Services,0000732717
T,2021,,,,133030.0,181174927360,Communication Services,1983 (1885),Communication Services,0000732717
ATO,2025,1198754000.0,28249522000.0,0.04243448791806106,5487.0,30263744512,Utilities,1906,Utilities,0000731802
ATO,2024,1042895000.0,25194465000.0,0.04139381407781431,5487.0,30263744512,Utilities,1906,Utilities,0000731802
ATO,2023,885862000.0,22516968000.0,0.03934197534943426,5487.0,30263744512,Utilities,1906,Utilities,0000731802
ATO,2022,774398000.0,22192989000.0,0.034893812636053664,5487.0,30263744512,Utilities,1906,Utilities,0000731802
ADSK,2026,1124000000.0,12467000000.0,0.09015801716531643,14300.0,52041760768,Technology,1982,Information Technology,0000769397
ADSK,2025,1112000000.0,10833000000.0,0.10264931228653189,14300.0,52041760768,Technology,1982,Information Technology,0000769397
ADSK,2024,906000000.0,9912000000.0,0.09140435835351089,14300.0,52041760768,Technology,1982,Information Technology,0000769397
ADSK,2023,823000000.0,9438000000.0,0.08720067810976902,14300.0,52041760768,Technology,1982,Information Technology,0000769397
ADSK,2022,,,,14300.0,52041760768,Technology,1982,Information Technology,0000769397
